City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jacareacanga,64,BR,1551061874,96,-6.22,-57.76,73.98,2.71
Joensuu,90,FI,1551059400,86,62.6,29.76,35.6,10.29
Bethel,40,US,1551060660,93,60.79,-161.76,35.6,11.41
Tuktoyaktuk,75,CA,1551060000,78,69.44,-133.03,10.4,5.82
Mar del Plata,12,AR,1551061759,77,-46.43,-67.52,44.5,8.75
Bredasdorp,12,ZA,1551060000,82,-34.53,20.04,60.8,2.82
Rocha,12,UY,1551061626,88,-34.48,-54.34,57.01,2.59
Kyren,0,RU,1551061877,61,51.68,102.13,12.28,2.59
Rikitea,92,PF,1551061877,100,-23.12,-134.97,80.01,14.0
Qaanaaq,0,GL,1551061877,86,77.48,-69.36,-20.53,7.18
Meadow Lake,0,CA,1551061877,56,54.13,-108.44,-12.7,6.29
Bosaso,92,SO,1551061877,100,11.28,49.18,73.71,4.38
Tuatapere,12,NZ,1551061878,85,-46.13,167.69,57.46,10.65
Torbay,5,CA,1551060000,60,47.66,-52.73,10.4,5.82
Mataura,12,NZ,1551061878,46,-46.19,168.86,62.68,10.87
Butaritari,80,KI,1551061832,100,3.07,172.79,83.79,17.47
Busselton,48,AU,1551061879,78,-33.64,115.35,76.59,16.02
Upernavik,32,GL,1551061879,100,72.79,-56.15,-0.28,21.16
Najran,20,SA,1551060000,52,17.54,44.22,68.0,2.24
Dakar,0,SN,1551060000,40,14.69,-17.45,71.6,11.41
Vaini,0,IN,1551060000,49,15.34,74.49,68.0,3.83
Barrow,12,AR,1551061763,71,-38.31,-60.23,52.2,13.0
Abnub,0,EG,1551056400,66,27.27,31.15,50.0,11.41
Fortuna,20,ES,1551060000,93,38.18,-1.13,46.4,3.36
Pacific Grove,1,US,1551060900,66,36.62,-121.92,53.6,4.7
Victoria,75,BN,1551060000,79,5.28,115.24,84.2,4.7
Mehriz,0,IR,1551060000,42,31.58,54.44,46.4,6.93
Punta Arenas,75,CL,1551060000,70,-53.16,-70.91,44.6,12.75
Guangyuan,80,CN,1551061882,78,32.43,105.86,44.5,1.81
Tasiilaq,92,GL,1551059400,92,65.61,-37.64,32.0,46.08
Puerto Ayora,56,EC,1551061770,100,-0.74,-90.35,79.06,5.17
Saint-Philippe,90,CA,1551060600,80,45.36,-73.48,35.6,27.51
Twin Falls,90,US,1551059580,64,42.57,-114.46,39.2,16.11
Santa Maria da Vitoria,76,BR,1551061883,60,-13.39,-44.19,78.93,5.17
Hobart,0,AU,1551060000,16,-42.88,147.33,86.0,8.05
Bluff,0,AU,1551061773,35,-23.58,149.07,90.36,11.77
Cape Town,20,ZA,1551060000,100,-33.93,18.42,64.4,8.05
Ushuaia,75,AR,1551060000,52,-54.81,-68.31,41.0,17.22
Tilichiki,0,RU,1551061884,70,60.47,166.1,0.72,3.71
Jamestown,0,AU,1551061770,35,-33.21,138.6,87.61,5.95
Bilma,12,NE,1551061885,38,18.69,12.92,46.89,9.86
Albany,90,US,1551060300,74,42.65,-73.75,42.8,14.99
Rockland,90,US,1551061020,93,42.13,-70.92,46.4,9.17
Ponta Delgada,40,PT,1551060000,71,37.73,-25.67,55.4,14.99
Carnarvon,0,ZA,1551061886,72,-30.97,22.13,51.3,2.93
Naze,48,NG,1551061886,95,5.43,7.07,74.38,2.93
Beringovskiy,8,RU,1551061620,80,63.05,179.32,26.05,8.52
Cabo San Lucas,20,MX,1551059160,59,22.89,-109.91,66.2,4.7
Flinders,40,AU,1551060000,50,-34.58,150.85,75.2,8.05
Marawi,0,PH,1551061887,44,8.0,124.29,82.89,3.15
Aklavik,40,CA,1551060000,49,68.22,-135.01,23.0,4.38
Hithadhoo,92,MV,1551061760,100,-0.6,73.08,82.53,7.74
Ulaanbaatar,0,MN,1551060000,71,47.92,106.92,6.8,2.24
Mirabad,0,IR,1551061888,79,28.27,61.33,35.01,2.82
Hilo,90,US,1551059580,73,19.71,-155.08,71.6,8.05
Kapaa,75,US,1551059760,64,22.08,-159.32,78.8,16.11
Port Alfred,36,ZA,1551061763,96,-33.59,26.89,66.28,5.28
Sioux Lookout,90,CA,1551060540,70,50.1,-91.92,-2.21,20.8
Russkaya Polyana,48,RU,1551061889,82,53.78,73.88,5.53,10.2
Nanortalik,92,GL,1551061889,94,60.14,-45.24,32.53,7.4
Vao,0,EE,1551061889,79,59.1,26.19,35.01,14.67
Bambous Virieux,40,MU,1551060000,83,-20.34,57.76,80.6,9.17
La Ronge,20,CA,1551060000,52,55.1,-105.3,-9.41,6.93
Seoul,1,KR,1551061200,51,37.57,126.98,44.6,3.36
Sitka,20,US,1551061890,67,37.17,-99.65,36.4,13.22
Palamos,0,ES,1551060000,100,41.85,3.13,35.6,1.12
Nome,1,US,1551060900,46,30.04,-94.42,57.2,4.7
Erenhot,0,CN,1551061891,36,43.65,111.97,29.88,3.83
Faya,0,SA,1551060000,62,18.39,42.45,60.8,5.82
Westport,64,IE,1551061796,89,53.8,-9.52,51.52,11.43
Belyy Yar,24,RU,1551060000,78,53.6,91.39,17.6,6.71
Zhanaozen,88,KZ,1551061892,91,43.35,52.85,31.68,7.85
Leningradskiy,88,RU,1551061892,82,69.38,178.42,16.96,18.59
Allen,1,US,1551060900,42,33.1,-96.67,51.8,5.39
Vanimo,0,PG,1551061893,100,-2.67,141.3,82.53,2.04
Severo-Kurilsk,64,RU,1551061805,100,50.68,156.12,23.04,7.29
Goundam,0,ML,1551061893,38,16.42,-3.66,61.56,14.45
Baykit,68,RU,1551061893,71,61.68,96.39,19.26,11.77
Cabedelo,40,BR,1551060000,88,-6.97,-34.84,78.8,3.36
Bayji,0,IQ,1551061894,81,34.93,43.49,41.71,4.5
Wawa,0,NG,1551061894,89,9.9,4.41,65.2,3.6
Airai,36,TL,1551061895,86,-8.93,125.41,79.56,1.59
Avarua,44,CK,1551060000,69,-21.21,-159.78,80.6,3.36
Yulara,0,AU,1551060000,16,-25.24,130.99,98.6,11.41
Atuona,0,PF,1551061758,100,-9.8,-139.03,80.91,8.97
Kununurra,0,AU,1551060000,56,-15.77,128.74,93.2,3.36
Hermanus,0,ZA,1551061896,97,-34.42,19.24,54.31,2.59
Waycross,1,US,1551060900,29,31.21,-82.35,66.2,9.17
Bathsheba,20,BB,1551060000,69,13.22,-59.52,77.0,23.04
Castro,0,CL,1551060000,81,-42.48,-73.76,44.6,6.93
North Myrtle Beach,1,US,1551060000,34,33.83,-78.68,66.2,11.41
Norman Wells,90,CA,1551060000,65,65.28,-126.83,5.0,2.24
Tsogni,76,GA,1551061897,97,-2.79,10.1,81.85,6.06
Batemans Bay,0,AU,1551061897,70,-35.71,150.18,73.98,5.39
Souillac,75,FR,1551060000,93,45.6,-0.6,39.2,2.24
